prompt,desc_ko,aspect_ratio,seed,extra_positive,extra_negative
"two high school students, one pulling enthusiastically leading, other being dragged along happily, roller coaster motif, shoujo manga style, lead and follow dynamic vibe, pastel orange and white colors, white background",열정형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two quirky creative high school students, both with wild colorful ideas, circus and imagination explosion, lightbulbs and paint everywhere, shoujo manga style, genius creative chaos vibe, pastel rainbow and gold colors, white background",창의형 + 창의형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two imaginative high school students, one dreaming up unicorn, other making it reality with tools, fantasy meets reality scene, shoujo manga style, dream team making magic vibe, pastel purple and cyan colors, white background",창의형 + 모험가형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one floating with creative clouds, other grounded with house motif, tug of war between dream and reality, shoujo manga style, dream vs reality balance vibe, pastel purple and brown colors, white background",창의형 + 안정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one stargazing with big dreams, other organizing and supporting with checklist, star and clipboard motif, shoujo manga style, dreamer and doer partnership vibe, pastel yellow and teal colors, white background",창의형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two helpful high school students, both offering to help each other, endless loop of politeness, question marks everywhere, shoujo manga style, too polite to decide vibe, pastel pink and mint colors, white background",서포터형 + 서포터형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two caring high school students, both offering food/drinks to each other, hearts and warmth around them, mutual care scene, shoujo manga style, warm caring exchange vibe, pastel pink and cream colors, white background",서포터형 + 배려형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two peaceful high school students, both avoiding any conflict, sitting in nature peacefully, leaf and calm water motif, shoujo manga style, peaceful conflict-avoidant vibe, pastel green and beige colors, white background",서포터형 + 순응형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two gentle high school students, one noticing small details, other appreciating thoughtful gestures, ribbon and small gifts, shoujo manga style, delicate understanding vibe, pastel pink and lavender colors, white background",서포터형 + 섬세형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two adventurous high school students, both doing extreme activities together, mountain climbing or skateboarding, danger and thrill everywhere, shoujo manga style, no safety wild adventure vibe, pastel cyan and orange colors, white background",모험가형 + 모험가형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one with backpack ready to go, other with house keys wanting to stay, suitcase and home motif, shoujo manga style, freedom vs settling clash vibe, pastel blue and brown colors, white background",모험가형 + 안정형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two high school students, one exploring with map, other staying at base camp with supplies, map and tent motif, shoujo manga style, explorer and base support dynamic vibe, pastel green and orange colors, white background",모험가형 + 배려형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
"two contrasting high school students, one jumping impulsively, other planning with charts, target and question mark motif, shoujo manga style, intuition vs planning clash vibe, pastel orange and blue colors, white background",모험가형 + 분석형,1:1,,"cute anime style, high school student character, sparkling eyes, fresh innocent expression, pastel color palette, shoujo manga feel",
